track1	original	high	de	73.21
track1	original	high	en	76.23
track1	original	high	es	56.1
track1	original	high	fi	53.75
track1	original	high	fr	67.21
track1	original	high	ru	67.67
track1	original	high	sv	65.64
track1	plausible	high	de	77.55
track1	plausible	high	en	85.3
track1	plausible	high	es	66.62
track1	plausible	high	fi	61.88
track1	plausible	high	ru	71.18
track1	plausible	high	sv	76.7
track1	original	medium	de	56.83
track1	original	medium	en	66.77
track1	original	medium	es	42.5
track1	original	medium	fi	22.11
track1	original	medium	fr	51.12
track1	original	medium	ru	38.76
track1	original	medium	sv	41.91
track1	plausible	medium	de	60.26
track1	plausible	medium	en	74.42
track1	plausible	medium	es	53.72
track1	plausible	medium	fi	27.83
track1	plausible	medium	ru	41.97
track1	plausible	medium	sv	49.47
track1	original	low	de	30.64
track1	original	low	en	61.33
track1	original	low	es	29.17
track1	original	low	fi	10.29
track1	original	low	fr	26.27
track1	original	low	ru	21.59
track1	original	low	sv	26.06
track1	plausible	low	de	33.37
track1	plausible	low	en	66.67
track1	plausible	low	es	32.4
track1	plausible	low	fi	12.33
track1	plausible	low	ru	22.59
track1	plausible	low	sv	30.53
track2	original	high	de	64.61
track2	original	high	en	69.89
track2	original	high	es	41.65
track2	original	high	fi	30.24
track2	original	high	fr	45.42
track2	original	high	ru	56.73
track2	original	high	sv	54.26
track2	plausible	high	de	68.86
track2	plausible	high	en	78.45
track2	plausible	high	es	51.75
track2	plausible	high	fi	37.23
track2	plausible	high	ru	60.04
track2	plausible	high	sv	64.57
track2	original	medium	de	52.17
track2	original	medium	en	64.05
track2	original	medium	es	32.12
track2	original	medium	fi	17.15
track2	original	medium	fr	23.63
track2	original	medium	ru	33.73
track2	original	medium	sv	34.89
track2	plausible	medium	de	56.02
track2	plausible	medium	en	69.59
track2	plausible	medium	es	38.01
track2	plausible	medium	fi	20.97
track2	plausible	medium	ru	36.55
track2	plausible	medium	sv	41.7
track2	original	low	de	27.81
track2	original	low	en	56.9
track2	original	low	es	27.77
track2	original	low	fi	8.89
track2	original	low	fr	9.57
track2	original	low	ru	19.68
track2	original	low	sv	22.34
track2	plausible	low	de	31.14
track2	plausible	low	en	62.64
track2	plausible	low	es	33.52
track2	plausible	low	fi	11.18
track2	plausible	low	ru	21.29
track2	plausible	low	sv	27.34
